CADENA;COD;DESCRIPCION;MARCA;COD LOCAL;DESCRIPCION LOCAL;FORMATO;VTA;STOCK;DESCRIPCION LOCAL2
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;64;SPSA-PVEA-MIRAFLORES;PLAZA VEA;29;19;PLAZA VEA MIRAFLORES
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;81;SPSA-PVEA-LA-MOLINA;PLAZA VEA;22;21;PLAZA VEA LA MOLINA
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;95;SPSA-VIVANDA-MONTERRICO;VIVANDA;24;11;VIVANDA MONTERRICO
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;227;SPSA-PVEA-SAN-ISIDRO;PLAZA VEA;19;25;PLAZA VEA SAN ISIDRO
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;90;SPSA-VIVANDA-PEZET;VIVANDA;13;15;VIVANDA PEZET
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;93;SPSA-VIVANDA-DOS-DE-MAYO;VIVANDA;12;12;VIVANDA DOS DE MAYO
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;109;SPSA-PVEA-DASSO;PLAZA VEA;13;23;PLAZA VEA DASSO
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;195;SPSA-PVEA-SAN-BORJA;PLAZA VEA;5;21;PLAZA VEA SAN BORJA
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;94;SPSA-VIVANDA-BENAVIDES;VIVANDA;8;20;VIVANDA BENAVIDES
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;140;SPSA-VIVANDA-LIBERTADORES;VIVANDA;15;9;VIVANDA LIBERTADORES
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;10;SPSA-PVEA-CAMINOS-DEL-INCA;PLAZA VEA;46;18;PLAZA VEA CAMINOS DEL INCA
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;290;SPSA-VIVANDA-ASIA;VIVANDA;7;6;VIVANDA ASIA
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;61;SPSA-PVEA-CORTIJO;PLAZA VEA;16;19;PLAZA VEA CORTIJO
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;106;SPSA-PVEA-VALLE-HERMOSO;PLAZA VEA;15;13;PLAZA VEA VALLE HERMOSO
SPSA.xlsx;20009807;BADIA-CANELA-EN-POLVO-UN-14-20-GR;BADIA;917;SPSA-CD-PUNTA-NEGRA;CD;0;-36;CD PUNTA NEGRA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;109;SPSA-PVEA-DASSO;PLAZA VEA;19;18;PLAZA VEA DASSO
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;37;SPSA-PVEA-JOCKEY;PLAZA VEA;5;18;PLAZA VEA JOCKEY
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;509;PIURA-2-MK;MAKRO;10;22;MAKRO PIURA 2
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;564;MAKRO-CHICLAYO;MAKRO;4;37;MAKRO CHICLAYO
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;448;ZARATE-2- -MK;MAKRO;8;26;MAKRO ZARATE 2
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;95;SPSA-VIVANDA-MONTERRICO;VIVANDA;15;43;VIVANDA MONTERRICO
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;510;AREQUIPA-2-MK;MAKRO;15;27;MAKRO AREQUIPA 2
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;892;MAKRO-PIURA;MAKRO;10;28;MAKRO PIURA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;106;SPSA-PVEA-VALLE-HERMOSO;PLAZA VEA;9;17;PLAZA VEA VALLE HERMOSO
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;899;MAKRO-TRUJILLO-II;MAKRO;4;29;MAKRO TRUJILLO II
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;93;SPSA-VIVANDA-DOS-DE-MAYO;VIVANDA;7;10;VIVANDA DOS DE MAYO
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;511;SULLANA-MK;MAKRO;9;21;MAKRO SULLANA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;132;SPSA-PVEA-EL-EJERCITO;PLAZA VEA;7;12;PLAZA VEA EL EJERCITO
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;896;MAKRO-CHINCHA;MAKRO;11;23;MAKRO CHINCHA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;769;SPSA-PVEA-CHICLAYO-MALL;PLAZA VEA;3;19;PLAZA VEA CHICLAYO MALL
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;358;MAKRO-CALLAO;MAKRO;25;37;MAKRO CALLAO
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;10;SPSA-PVEA-CAMINOS-DEL-INCA;PLAZA VEA;24;16;PLAZA VEA CAMINOS DEL INCA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;48;SPSA-PVEA-HIGUERETA;PLAZA VEA;16;6;PLAZA VEA HIGUERETA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;1058;MAKRO-HUAYLAS;MAKRO;11;29;MAKRO HUAYLAS
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;1252;MAKRO-SAN-MARTIN-DE-PORRES;MAKRO;27;27;MAKRO SAN MARTIN DE PORRES
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;290;SPSA-VIVANDA-ASIA;VIVANDA;1;31;VIVANDA ASIA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;90;SPSA-VIVANDA-PEZET;VIVANDA;12;12;VIVANDA PEZET
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;195;SPSA-PVEA-SAN-BORJA;PLAZA VEA;9;15;PLAZA VEA SAN BORJA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;81;SPSA-PVEA-LA-MOLINA;PLAZA VEA;19;20;PLAZA VEA LA MOLINA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;229;SPSA-PVEA-SALAVERRY;PLAZA VEA;40;11;PLAZA VEA SALAVERRY
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;1250;MAKRO-CHIMBOTE;MAKRO;4;27;MAKRO CHIMBOTE
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;140;SPSA-VIVANDA-LIBERTADORES;VIVANDA;11;11;VIVANDA LIBERTADORES
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;61;SPSA-PVEA-CORTIJO;PLAZA VEA;17;15;PLAZA VEA CORTIJO
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;897;MAKRO-ICA;MAKRO;16;17;MAKRO ICA
SPSA.xlsx;20149426;BADIA-CURRY-EN-POLVO-X-56-7GR;BADIA;1033;MAKRO-VENEZUELA;MAKRO;19;32;MAKRO VENEZUELA
